error_count,priority,node_id,version,hostaddr,hostname,task_name,status,error_message,progress,task_params,time_disconnected,time_connected,batch_id,error_batch_id,error_time
0,0,0,1.4.5.7354,67.58.52.101:33104,sme2d-1-0.local,,offline,,0.0,{},1560371219,1560355572,-1,-1,0
0,0,1,1.4.5.7354,67.58.52.99:33332,sme2d-0-0.local,,offline,,0.0,{},1560371269,1560355572,-1,-1,0
0,0,2,1.4.5.7354,67.58.52.100:49031,sme2d-0-1.local,,offline,,0.0,{},1561180410,1560355572,-1,-1,0
0,0,3,1.4.5.7354,67.58.52.98:49933,sme2d.local,,offline,,0.0,{},1560371025,1560355573,-1,-1,0
0,0,4,1.4.5.7354,67.58.52.102:57115,sme2d-1-1.local,,offline,,0.0,{},1561180409,1560355573,-1,-1,0
0,0,5,1.4.5.7354,137.110.116.84:33673,cisa3-sfm3,,offline,,0.0,{},1560371785,1560355714,-1,-1,0
0,0,6,1.4.5.7354,137.110.116.7:44206,cisa3-sfm2,,offline,,0.0,{},1560371951,1560356204,-1,-1,0
0,0,7,1.4.5.7354,67.58.52.152:53064,eklo-ws,,offline,,0.0,{},1560357391,1560356332,-1,-1,0
0,0,8,1.4.5.7354,67.58.52.148:44198,wavelet2-0,,offline,,0.0,{},1560357285,1560357219,-1,-1,0
420,0,9,1.4.5.7354,67.58.52.148:44202,wavelet2-0,,offline,Can't open file: No such file or directory (2): /home/eklo/eric/fiona4/field/alaska_eq_2018/xiang/drone/output/minerva.psx,0.0,{},1560358132,1560357380,-1,0,1560358089
0,0,10,1.4.5.7354,67.58.52.152:53226,eklo-ws,,offline,,0.0,{},1560371979,1560357427,-1,-1,0
0,0,11,1.4.5.7354,67.58.52.148:44204,wavelet2-0,,offline,,0.0,{},1560372040,1560358146,-1,-1,0
0,0,12,1.4.5.7354,67.58.52.98:49953,sme2d.local,,offline,,0.0,{},1560371105,1560371101,-1,-1,0
0,0,13,1.4.5.7354,67.58.52.98:49954,sme2d.local,,offline,,0.0,{},1560371144,1560371127,-1,-1,0
0,0,14,1.4.5.7354,67.58.52.98:49955,sme2d.local,,offline,,0.0,{},1561180410,1560371148,-1,-1,0
0,0,15,1.4.5.7354,67.58.52.101:33105,sme2d-1-0.local,,offline,,0.0,{},1561180410,1560371259,-1,-1,0
0,0,16,1.4.5.7354,67.58.52.99:33333,sme2d-0-0.local,,offline,,0.0,{},1560371362,1560371347,-1,-1,0
0,0,17,1.4.5.7354,67.58.52.99:33334,sme2d-0-0.local,,offline,,0.0,{},1561180409,1560371439,-1,-1,0
1,0,18,1.4.5.7354,137.110.116.84:39067,cisa3-sfm3,,offline,Aborted by user,0.0,{},1561940693,1560371877,-1,19,1561412565
1,0,19,1.4.5.7354,137.110.116.7:44208,cisa3-sfm2,,offline,Aborted by user,0.0,{},1561414466,1560371964,-1,19,1561412565
0,0,20,1.4.5.7354,67.58.52.152:53446,eklo-ws,,offline,,0.0,{},1561148557,1560371983,-1,-1,0
0,0,21,1.4.5.7354,67.58.52.148:44238,wavelet2-0,,offline,,0.0,{},1561180409,1560372041,-1,-1,0
0,0,22,1.4.5.7354,67.58.52.138:15138,chei-ws2,,offline,,0.0,{},1561180409,1560658600,-1,-1,0
1,0,23,1.4.5.7354,67.58.52.138:33786,chei-ws2,,offline,Aborted by user,0.0,{},1561574017,1561181081,-1,19,1561412568
1,0,24,1.4.5.7354,67.58.52.148:45920,wavelet2-0,,offline,Aborted by user,0.0,{},1561574017,1561181121,-1,19,1561412565
3,0,25,1.4.5.7354,67.58.52.102:57116,sme2d-1-1.local,,offline,Aborted by user,0.0,{},1561414256,1561181226,-1,19,1561412565
75,0,26,1.4.5.7354,67.58.52.98:50920,sme2d.local,,offline,Aborted by user,0.0,{},1561414032,1561181227,-1,19,1561412565
1,0,27,1.4.5.7354,67.58.52.99:33335,sme2d-0-0.local,,offline,Aborted by user,0.0,{},1561414314,1561181228,-1,19,1561412566
1,0,28,1.4.5.7354,67.58.52.100:49032,sme2d-0-1.local,,offline,Aborted by user,0.0,{},1561414351,1561181230,-1,19,1561412566
1,0,29,1.4.5.7354,67.58.52.101:33106,sme2d-1-0.local,,offline,Aborted by user,0.0,{},1561414387,1561181230,-1,19,1561412565
0,0,30,1.4.5.7354,67.58.52.98:51181,sme2d.local,,offline,,0.0,{},1561574017,1561414058,-1,-1,0
0,0,31,1.4.5.7354,67.58.52.102:57117,sme2d-1-1.local,,offline,,0.0,{},1561574017,1561414266,-1,-1,0
0,0,32,1.4.5.7354,67.58.52.99:33336,sme2d-0-0.local,,offline,,0.0,{},1561574017,1561414326,-1,-1,0
0,0,33,1.4.5.7354,67.58.52.100:49033,sme2d-0-1.local,,offline,,0.0,{},1561574017,1561414354,-1,-1,0
0,0,34,1.4.5.7354,67.58.52.101:33107,sme2d-1-0.local,,offline,,0.0,{},1561574017,1561414391,-1,-1,0
0,0,35,1.4.5.7354,137.110.116.7:44704,cisa3-sfm2,,offline,,0.0,{},1561485907,1561485900,-1,-1,0
0,0,36,1.4.5.7354,137.110.116.7:44706,cisa3-sfm2,,offline,,0.0,{},1561940672,1561485921,-1,-1,0
0,0,37,1.4.5.7354,67.58.52.138:48260,chei-ws2,,offline,,0.0,{},1561586672,1561574834,-1,-1,0
10,0,38,1.4.5.7354,67.58.52.102:57261,sme2d-1-1.local,,offline,CUDA_ERROR_OUT_OF_MEMORY (2) at line 123,0.0,{},1561940703,1561574834,-1,45,1561776791
0,0,39,1.4.5.7354,67.58.52.99:33481,sme2d-0-0.local,,offline,,0.0,{},1561940686,1561574834,-1,-1,0
1,0,40,1.4.5.7354,67.58.52.101:33244,sme2d-1-0.local,,offline,CUDA_ERROR_OUT_OF_MEMORY (2) at line 123,0.0,{},1561673106,1561574834,-1,38,1561631525
0,0,41,1.4.5.7354,67.58.52.100:49172,sme2d-0-1.local,,offline,,0.0,{},1561940700,1561574834,-1,-1,0
0,0,42,1.4.5.7354,67.58.52.148:46292,wavelet2-0,,offline,,0.0,{},1561675352,1561574852,-1,-1,0
